genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,Bonobo_Ppa,Chimp_Pt,AFR_hsa
ENSG00000225741,NA,unprocessed_pseudogene,1,human_only,NA,NA,7.09716474
ENSG00000229618,NA,lncRNA,1,human_only,NA,NA,6.699370626
ENSG00000229836,NA,unprocessed_pseudogene,1,human_only,NA,NA,7.74339638
ENSG00000230087,NA,processed_pseudogene,1,human_only,NA,NA,7.769313635
ENSG00000233183,NA,lncRNA,1,human_only,NA,NA,7.625443118
ENSG00000235419,NA,lncRNA,1,human_only,NA,NA,7.248507529
ENSG00000239920,NA,protein_coding,1,human_only,NA,NA,8.391848747
ENSG00000240040,NA,lncRNA,1,human_only,NA,NA,7.207771084
ENSG00000249036,NA,lncRNA,1,human_only,NA,NA,6.68882988
ENSG00000249782,NA,lncRNA,1,human_only,NA,NA,7.565673229
ENSG00000250264,NA,protein_coding,1,human_only,NA,NA,6.462226316
ENSG00000251088,NA,lncRNA,1,human_only,NA,NA,7.574360602
ENSG00000251339,NA,lncRNA,1,human_only,NA,NA,7.044617034
ENSG00000255558,NA,lncRNA,1,human_only,NA,NA,6.721447626
ENSG00000258464,NA,lncRNA,1,human_only,NA,NA,6.945594078
ENSG00000259162,NA,transcribed_unprocessed_pseudogene,1,human_only,NA,NA,6.532952141
ENSG00000260170,NA,protein_coding,1,human_only,NA,NA,6.964437807
ENSG00000284837,NA,lncRNA,1,human_only,NA,NA,6.945413863
ENSG00000285216,NA,lncRNA,1,human_only,NA,NA,6.777071565
ENSG00000285471,NA,protein_coding,1,human_only,NA,NA,8.92865573
ENSG00000287720,NA,lncRNA,1,human_only,NA,NA,6.627658409
ENSG00000287801,NA,lncRNA,1,human_only,NA,NA,6.945772717
ENSG00000289427,NA,lncRNA,1,human_only,NA,NA,6.591429461
ENSG00000290427,NA,lncRNA,1,human_only,NA,NA,7.351532077
ENSG00000290870,NA,lncRNA,1,human_only,NA,NA,9.633222557
ENSG00000291038,NA,lncRNA,1,human_only,NA,NA,6.532952141
ENSG00000291254,NA,lncRNA,1,human_only,NA,NA,6.834137074
ENTREP2,NA,protein_coding,1,human_only,NA,NA,6.432664997
ETV6,NA,protein_coding,1,human_only,NA,NA,6.470236531
EVC2,NA,protein_coding,1,human_only,NA,NA,7.476685112
FAHD1,acylpyruvase FAHD1%2C mitochondrial,protein_coding,1,bonobo_only,6.34,NA,NA
FAM107B,family with sequence similarity 107 member B,NA,1,chimp_only,NA,7.27,NA
FAM110A,family with sequence similarity 110 member A,protein_coding,1,bonobo_only,6.18,NA,NA
FAM153A,protein FAM153A,protein_coding,1,bonobo_only,6.86,NA,NA
FAM157A,putative protein FAM157A,protein_coding,1,bonobo_only,7.12,NA,NA
FAM231C,FAM231A/C-like protein,protein_coding,1,bonobo_only,6,NA,NA
FAM90A27P,protein FAM90A27P,protein_coding,1,bonobo_only,6.02,NA,NA
FANCA,FA complementation group A,protein_coding,1,bonobo_only,8.37,NA,NA
FARP2,FERM%2C ARH/RhoGEF and pleckstrin domain protein 2,NA,1,chimp_only,NA,6.19,NA
FDFT1,farnesyl-diphosphate farnesyltransferase 1,protein_coding,1,bonobo_only,6.66,NA,NA
FGF5,fibroblast growth factor 5,protein_coding,1,bonobo_only,7.57,NA,NA
FHAD1,forkhead associated phosphopeptide binding domain 1,NA,1,chimp_only,NA,6.82,NA
FMN2,formin 2,protein_coding,1,bonobo_only,8.77,NA,NA
FN3K,fructosamine 3 kinase,NA,1,chimp_only,NA,7.96,NA
FOXD4L1,forkhead box protein D4-like 1,protein_coding,1,bonobo_only,6.53,NA,NA
FOXK2,forkhead box K2,NA,1,chimp_only,NA,10.68,NA
FRMD4A,FERM domain containing 4A,NA,1,chimp_only,NA,6.35,NA
FSD1,fibronectin type III and SPRY domain containing 1,protein_coding,1,bonobo_only,6.17,NA,NA
GADL1,glutamate decarboxylase like 1,NA,1,chimp_only,NA,6.5,NA
GALNT14,polypeptide N-acetylgalactosaminyltransferase 14,NA,1,chimp_only,NA,7.49,NA
GFPT2,glutamine-fructose-6-phosphate transaminase 2,NA,1,chimp_only,NA,6.39,NA
