loc_name	new_symbol	description
LOC746169	SMIM14	small integral membrane protein 14
LOC134807434	ZNF850	zinc finger protein 850-like
LOC107967547	NA	large ribosomal subunit protein uL13-like
LOC473397	NA	ovostatin homolog 2
LOC134807533	NA	collagen alpha-1(II) chain-like
LOC112205005	NA	G/T mismatch-specific thymine DNA glycosylase-like
LOC134807483	IRAG2	inositol 1,4,5-triphosphate receptor associated 2-like
LOC134807488	NA	putative solute carrier organic anion transporter family member 1B7
LOC749254	SLCO1B3	solute carrier organic anion transporter family member 1B3
LOC100614771	NA	elongation factor 1-alpha 1-like
LOC736227	NA	developmental pluripotency-associated protein 3-like
LOC104001660	NA	putative golgin subfamily A member 2B
LOC100608739	NA	thyroid receptor-interacting protein 11-like
LOC129136556	NA	large ribosomal subunit protein eL8
LOC134807410	NA	fibroblast growth factor-binding protein 3-like
LOC101059613	NA	nucleoside diphosphate kinase, mitochondrial
LOC101057578	NA	large ribosomal subunit protein uL16-like
LOC104001739	TMEM132B	transmembrane protein 132B-like
LOC741807	NA	transmembrane emp24 domain-containing protein 2
LOC738562	NA	putative EP400-like protein
LOC129135992	NA	histone-lysine N-methyltransferase PRDM7-like
LOC112207536	NA	BCL-6 corepressor-like protein 1
LOC129136082	NA	minor allergen Can f 2
LOC107976814	NA	ficolin-2-like
LOC112204432	NA	ADP-ribosylation factor 4-like
LOC450164	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
LOC464762	TMEM203	transmembrane protein 203
LOC473049	NA	olfactory receptor 1L4
LOC100612643	NA	olfactory receptor 1L3
LOC112204402	NA	olfactory receptor 1N1
LOC473039	NA	olfactory receptor 1J1
LOC107976758	NA	basic salivary proline-rich protein 2-like
LOC134807636	NA	serine/arginine repetitive matrix protein 1-like
LOC112204398	NUTM2G	NUT family member 2G-like
LOC134807728	NA	major facilitator superfamily domain-containing 14C-like
LOC472988	NA	ankyrin repeat domain-containing protein 18B-like
LOC466297	NUTM2F	NUT family member 2F
LOC104007940	NA	major facilitator superfamily domain-containing 14C
LOC134807730	NA	E3 ubiquitin-protein ligase makorin-1-like
LOC100613702	NUTM2F	NUT family member 2F
LOC107976711	SPTLC1	serine palmitoyltransferase long chain base subunit 1
LOC129136042	NA	putative UPF0607 protein ENSP00000381418
LOC739558	NA	receptor-type tyrosine-protein phosphatase V-like
LOC104007935	NA	putative UPF0607 protein ENSP00000381418
LOC472977	NA	serine/threonine-protein kinase NLK-like
LOC129136001	NA	unconventional myosin-Vb-like
LOC129136000	NA	translation initiation factor IF-2
LOC112204071	NA	monofunctional C1-tetrahydrofolate synthase, mitochondrial-like
LOC107970105	NA	putative ankyrin repeat domain-containing protein 20A2
LOC134807657	NA	putative UPF0633 protein
LOC735822	NA	putative UPF0633 protein
LOC107972967	NA	contactin-associated protein-like 3
LOC129135946	NA	zinc-regulated GTPase metalloprotein activator 1C
LOC739614	NA	required for meiotic nuclear division protein 1 homolog
LOC112204382	NA	spermatogenesis-associated protein 31D1-like
LOC745963	NA	spermatogenesis-associated protein 31D1-like
LOC464935	NA	putative spermatogenesis-associated protein 31C2
LOC107976692	NA	histone-lysine N-methyltransferase SETMAR
LOC112207515	NA	spermatogenesis-associated protein 31A1
LOC104007846	NA	phospholipid-transporting ATPase FetA-like
LOC112204425	NA	small ribosomal subunit protein eS26-like
LOC100608547	NA	ral-GDS-related protein-like
LOC104007838	NA	putative UPF0607 protein ENSP00000383144
LOC741978	NA	interferon alpha-16
LOC744748	NA	interferon alpha-17
LOC101056829	NA	non-histone chromosomal protein HMG-17
LOC464999	NA	L-lactate dehydrogenase A chain-like
LOC112204364	NA	small nuclear ribonucleoprotein E-like
LOC129136087	NA	MAM and LDL-receptor class A domain-containing protein 1-like
LOC129141848	NA	MAM and LDL-receptor class A domain-containing protein 1-like
LOC129143198	NA	MAM and LDL-receptor class A domain-containing protein 1-like
LOC101059855	NA	chromosome alignment-maintaining phosphoprotein 1-like
LOC104004422	NA	bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7
LOC107973298	NA	spectrin beta chain, non-erythrocytic 5-like
LOC129143190	NA	small nuclear ribonucleoprotein G-like
LOC107973590	NA	WAS/WASL-interacting protein family member 1-like
LOC129135413	NA	RANBP2-like and GRIP domain-containing protein 5/6
LOC470467	NA	sulfotransferase 1C3
LOC100608286	NA	sulfotransferase 1C1
LOC459477	NA	LIM and senescent cell antigen-like-containing domain protein 1
LOC736102	NA	E3 SUMO-protein ligase RanBP2-like
LOC129135439	NA	RANBP2-like and GRIP domain-containing protein 5/6
LOC100612480	NA	anaphase-promoting complex subunit 1
LOC112208197	NA	ranBP2-like and GRIP domain-containing protein 4
LOC107972874	NA	interleukin-1 receptor-like 1
LOC112208201	NA	interleukin-1 receptor-like 1
LOC112204153	NA	ranBP2-like and GRIP domain-containing protein 4
LOC741694	NA	ankyrin repeat domain-containing protein 36B
LOC129143243	NA	small ribosomal subunit protein uS2-like
LOC107973137	NA	ankyrin repeat domain-containing protein 36C
LOC107973123	NA	SCY1-like protein 2
LOC470434	NA	tripartite motif-containing protein 43
LOC739911	NA	tripartite motif-containing protein 43
LOC112207519	NA	ankyrin repeat domain-containing protein 20B
LOC112207981	NA	ankyrin repeat domain-containing protein 20B
LOC112204070	NA	aquaporin-7B
LOC750038	NA	monofunctional C1-tetrahydrofolate synthase, mitochondrial-like
LOC129143157	NA	inactive glutathione hydrolase 2-like
LOC134807781	NA	histone-lysine N-methyltransferase 2C-like
LOC100614447	NA	rho GTPase-activating protein 23-like
LOC129143237	IGKV2-28	immunoglobulin kappa variable 2-28
LOC104005067	NA	ankyrin repeat domain-containing protein 36B-like
LOC107971323	NA	RANBP2-like and GRIP domain-containing protein 1
LOC107973078	NA	anaphase-promoting complex subunit 1-like
LOC134807800	NA	anaphase-promoting complex subunit 1-like
LOC129141188	NA	transcription factor NF-E4-like
LOC134807808	NA	breast carcinoma-amplified sequence 4-like
LOC459325	NA	putative ALMS1-like protein
LOC738157	NA	cytochrome P450 26B1
LOC459308	NA	olfactory receptor 7E24-like
LOC129143200	NA	elongin-C-like
LOC735576	NA	gastrokine-3
LOC738175	NA	putative UPF0607 protein ENSP00000381514
LOC134807898	NA	WAS/WASL-interacting protein family member 3-like
LOC134807785	NA	formin-2-like
LOC107973470	NA	embryonic stem cell-related gene protein-like
LOC101059249	NA	myeloid-associated differentiation marker
LOC107972569	NA	putative postmeiotic segregation increased 2-like protein 2
LOC129140901	NA	endogenous retrovirus group K member 7 Env polyprotein
LOC129143290	NA	MAM and LDL-receptor class A domain-containing protein 1-like
LOC129143446	NA	spectrin beta chain, non-erythrocytic 5-like
LOC748548	NA	cytosolic phospholipase A2 beta
LOC104004131	NA	mitogen-activated protein kinase-binding protein 1-like
LOC470525	NA	cytochrome P450 27C1
LOC107973768	NA	iron-sulfur cluster assembly 1 homolog, mitochondrial
LOC741724	NA	putative inactive fatty acyl-CoA reductase 2-like protein
LOC107973632	POTEG	POTE ankyrin domain family member G
LOC104004656	SMPD4	sphingomyelin phosphodiesterase 4
LOC749210	NA	mitotic-spindle organizing protein 2B
LOC112208376	NA	collagen alpha-2(XI) chain-like
LOC112207946	NA	ras-related protein Rab-6C
LOC107966644	FAR2	fatty acyl-CoA reductase 2-like
LOC129143391	POTEE	POTE ankyrin domain family member E
LOC107971418	POTEI	POTE ankyrin domain family member I
LOC736079	FAR2	fatty acyl-CoA reductase 2-like
LOC112208375	NA	ras-related protein Rab-6C
LOC129135366	NA	collagen alpha-2(XI) chain-like
LOC129135332	NA	mitotic-spindle organizing protein 2B
LOC100608221	SMPD4	sphingomyelin phosphodiesterase 4
LOC107973629	NA	mitotic-spindle organizing protein 2B
LOC107971415	NA	coiled-coil domain-containing protein 74B
LOC459619	SMPD4	sphingomyelin phosphodiesterase 4
LOC459622	NBEA	neurobeachin-like
LOC129143305	NA	G-protein coupled receptor 39
LOC134808083	NA	collagen alpha-1(III) chain-like
LOC107966142	NA	histone H3.3A
LOC739606	NA	protein ELYS-like
LOC470576	CTAGE9	cTAGE family member 9-like
LOC736129	NA	collagen alpha-1(I) chain-like
LOC107973827	NA	small ribosomal subunit protein eS26-like
LOC739939	NA	large ribosomal subunit protein P1-like
LOC134808055	TTN	titin-like
LOC470599	NA	protein lin-28 homolog A-like
LOC470601	NA	ETS-related transcription factor Elf-2-like
LOC747025	NA	aldehyde oxidase 2-like
LOC129143431	NA	bone morphogenetic protein receptor type-2-like
LOC739023	NA	transcription factor BTF3
LOC129143258	NA	fatty acid-binding protein 5-like
LOC129143283	NA	small cysteine and glycine repeat-containing protein 6-like
LOC107966250	NA	barrier-to-autointegration factor-like
LOC129143436	NA	endogenous retrovirus group 3 member 1 Env polyprotein-like
LOC107973969	NA	UDP-glucuronosyltransferase 1A1
LOC107971404	NA	UDP-glucuronosyltransferase 1A5-like
LOC107974000	NA	aquaporin-12B
LOC129143390	NA	histone-lysine N-methyltransferase PRDM7-like
LOC134808100	NA	protein VCF2-like
LOC129136793	NA	protein FRG1B-like
LOC101058522	NA	putative ankyrin repeat domain-containing protein 20A2
LOC129137927	NA	putative ankyrin repeat domain-containing protein 20A12
LOC129136889	NA	ankyrin repeat domain-containing protein SOWAHC-like
LOC100615457	NA	unconventional myosin-Vb-like
LOC134806923	NA	cyclin-dependent kinase 2-associated protein 2-like
LOC129136896	NA	protein FRG1B-like
LOC129136897	NA	ankyrin repeat domain-containing protein 30B-like
LOC112205576	POTEB3	POTE ankyrin domain family member B3
LOC129136711	NA	ankyrin repeat domain-containing protein 18B-like
LOC107967839	NA	lysine-specific demethylase PHF2-like
LOC129136901	NA	protein mono-ADP-ribosyltransferase PARP4-like
LOC104001782	NA	putative coiled-coil domain-containing protein 144B
LOC467351	NA	coiled-coil-helix-coiled-coil-helix domain-containing protein 2-like
LOC107972228	NA	peroxiredoxin-2-like
