Sample	id	type	dataset	p1	p2	HPRC_meta.Population	HPRC_PANPAN.color	hgdp_tgp_meta.Genetic.region	hgdp_tgp_meta.Study.region	SpeciesCode	Cell	Birth	hgdp_tgp_meta.Latitude	hgdp_tgp_meta.Longitude	hgdp_tgp_meta.Continent.colors	hgdp_tgp_meta.Pop.colors	project_meta.sex	observations
PR01225	PR01225.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	wild	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01227	PR01227.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	wild	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01227	PR01227.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	wild	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01228	PR01228.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	wild	3	30	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01228	PR01228.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	wild	3	30	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01008	PR01008.hap1	hap1	PANPAN	Eastern chimpanzee	AFR	Eastern chimpanzee	#ffb35a	AFR	Pan troglodytes schweinfurthii	Pts	Fibroblast	wild	3	30	#ffb35a	#ffb35a	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01008	PR01008.hap2	hap2	PANPAN	Eastern chimpanzee	AFR	Eastern chimpanzee	#ffb35a	AFR	Pan troglodytes schweinfurthii	Pts	Fibroblast	wild	3	30	#ffb35a	#ffb35a	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01009	PR01009.hap1	hap1	PANPAN	Eastern chimpanzee	AFR	Eastern chimpanzee	#ffb35a	AFR	Pan troglodytes schweinfurthii	Pts	Fibroblast	wild	3	30	#ffb35a	#ffb35a	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01009	PR01009.hap2	hap2	PANPAN	Eastern chimpanzee	AFR	Eastern chimpanzee	#ffb35a	AFR	Pan troglodytes schweinfurthii	Pts	Fibroblast	wild	3	30	#ffb35a	#ffb35a	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01010	PR01010.hap1	hap1	PANPAN	Eastern chimpanzee	AFR	Eastern chimpanzee	#ffb35a	AFR	Pan troglodytes schweinfurthii	Pts	Fibroblast	captive	3	30	#ffb35a	#ffb35a	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
